exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
1,32,Expression of Ideas,Rhetorical Synthesis,"The article discusses advantages and disadvantages of remote work.","What rhetorical function is illustrated?","Balanced argument","Bias","Narrative","Explanation",A,"Presenting pros and cons provides a balanced view."
1,33,Craft and Structure,Cross-Text Connections,"Text A focuses on automation's economic impact; Text B details social effects.","What can be concluded?","Topics are unrelated.","Both texts explore different facets of a common issue.","Texts disagree.","Texts repeat information.",B,"Both explore various impacts of automation."
1,34,Standard English Conventions,Boundaries,"Let's eat, kids!","Which punctuation changes meaning?","Let's eat kids!","Lets eat kids!","Let's eat, kids!","Lets eat, kids!",C,"The comma distinguishes addressing kids from eating them."
1,35,Information and Ideas,Inferences,"The report notes an increase in online learning enrollment.","What does this imply?","Fewer students study online.","More students use online learning.","Online learning is declining.","Students dislike online classes.",B,"Increase indicates growing online enrollment."
1,36,Expression of Ideas,Transitions,"He studied hard; consequently, he passed the exam.","What does 'consequently' show?","Cause","Effect","Contrast","Addition",B,"Indicates result or effect."
1,37,Craft and Structure,Words in Context,"The city's skyline was majestic against the twilight backdrop.","What does 'majestic' mean?","Small","Grand","Unpleasant","Ordinary",B,"'Majestic' means grand or impressive."
1,38,Standard English Conventions,Form Structure and Sense,"Neither the players nor the coach are ready.","Which verb is correct?","Are","Is","Was","Were",B,"Singular verb 'is' agrees with singular subject."
1,39,Information and Ideas,Command of Evidence,"Studies link healthy eating with reduced disease risk.","Which evidence supports the claim?","Healthy eating is difficult.","Healthy eating reduces disease possibility.","Diet has no effect.","Healthy food is expensive.",B,"Directly supports reduced disease risk."
1,40,Expression of Ideas,Rhetorical Synthesis,"The passage presents opposing viewpoints on climate change policy.","What is the rhetorical strategy?","Agreement","Debate","Description","Summary",B,"Opposing viewpoints create debate."
1,41,Craft and Structure,Text Structure and Purpose,"The passage lists steps to plant a garden, then explains benefits.","What is author's purpose?","To instruct and inform","To entertain","To describe feelings","To argue a point",A,"Steps and benefits provide instruction and information."
1,42,Standard English Conventions,Boundaries,"Walking to the store the rain began.","Which revision best clarifies?","Walking to the store, the rain began.","While walking to the store, the rain began.","Walking to the store the rain began suddenly.","To the store walking, the rain began.",B,"Adds clear subject and action."
1,43,Information and Ideas,Central Idea,"The text argues that electric cars are a solution to pollution.","What is central claim?","Electric cars pollute.","Electric cars solve pollution issues.","Electric cars are expensive.","Electric cars are new.",B,"Electric cars solve pollution problems."
1,44,Expression of Ideas,Transitions,"Although tired, she completed the marathon.","What does 'although' indicate?","Cause","Contrast","Addition","Result",B,"Indicates contrast."
1,45,Craft and Structure,Words in Context,"The novel's plot was labyrinthine and complex.","What does 'labyrinthine' mean?","Simple","Confusing","Quick","Exciting",B,"Means complex and confusing."
1,46,Standard English Conventions,Form Structure and Sense,"Each of the players have a different role.","Which correction is best?","Each of the players has a different role.","Each of the players have different roles.","Each players has a different role.","Each player have a different role.",A,"Singular 'each' requires 'has'."
1,47,Information and Ideas,Command of Evidence,"Data shows increased exercise correlates with lower stress.","Which supports this?","Exercise causes stress.","Exercise reduces stress.","Exercise has no effect.","Exercise causes anxiety.",B,"Correlation supports stress reduction claim."
1,48,Expression of Ideas,Rhetorical Synthesis,"The essay contrasts city life’s noise with countryside peace.","What technique is used?","Contrast","Comparison","Narration","Description",A,"Contrasting two lifestyles."
1,49,Craft and Structure,Cross-Text Connections,"Text A describes soil degradation; Text B covers erosion control.","How are they related?","Unrelated","Cause and solution","Contradictory","Opposing",B,"Control addresses degradation causes."
1,50,Standard English Conventions,Boundaries,"Run fast before the sun sets.","Which punctuation is missing?","No punctuation","Comma after 'fast'","Period at end","Semicolon after 'Run'",C,"Sentence requires period."
1,51,Craft and Structure,Words in Context,"He gave a succinct summary of the event.","What does 'succinct' mean?","Detailed","Brief","Lengthy","Confusing",B,"'Succinct' means brief and clear."
1,52,Standard English Conventions,Form Structure and Sense,"The data clearly shows a trend.","Which correction is proper?","Shows","Show","Shown","Showing",A,"'Data' can be singular; 'shows' agrees."
1,53,Information and Ideas,Central Idea,"The passage emphasizes the importance of conservation.","What is the central idea?","Conservation is unnecessary","Conservation is crucial","Conservation is costly","Conservation is optional",B,"Passage stresses conservation importance."
1,54,Expression of Ideas,Transitions,"She wanted to go; nevertheless, she stayed.","What does 'nevertheless' indicate?","Addition","Contrast","Cause","Effect",B,"Indicates contrast."
2,1,Craft and Structure,Words in Context,"The frightened cat darted under the couch at the loud noise.","What does 'darted' most nearly mean?","Moved quickly","Hid silently","Jumped high","Ran slowly",A,"'Darted' means to move quickly and suddenly."
2,2,Standard English Conventions,Boundaries,"He enjoy reading books about history and science.","Which revision best corrects the sentence?","He enjoys reading books about history and science.","He enjoy read books about history and science.","He enjoys read books about history and science.","He enjoy reading books about history and science.",A,"Subject-verb agreement requires 'enjoys' for singular subject 'He'."
2,3,Information and Ideas,Command of Evidence,"Passage states that eating fruits reduces the risk of heart disease.","Which part of the passage best supports this claim?","Eating fruits is important to diet.","Eating fruits reduces the risk of heart disease.","Heart disease is common.","Many people enjoy fruits.",B,"This sentence directly supports the claim about reduced risk."
2,4,Expression of Ideas,Transitions,"The author writes, 'However, the experiment did not yield expected results.'","What is the purpose of 'However' here?","To add information","To show contrast","To provide an example","To summarize",B,"'However' signals contrast or contradiction."
2,5,Craft and Structure,Text Structure and Purpose,"The article introduces a problem and then offers several solutions.","What is the purpose of this structure?","To confuse the reader","To entertain with stories","To propose ways to address the problem","To give historical background",C,"The structure organizes information to present solutions."
2,6,Standard English Conventions,Form Structure and Sense,"Each of the dogs bark loudly at strangers.","Which correction is needed?","Each of the dogs barks loudly at strangers.","Each of the dogs bark loudly at strangers.","Each of the dogs barking loudly at strangers.","Each of the dog bark loudly at strangers.",A,"Singular 'Each' requires singular verb 'barks'."
2,7,Information and Ideas,Central Idea,"The passage explains the benefits of electric cars to the environment.","What is the central idea?","Electric cars are expensive.","Electric cars pollute less and help environment.","Electric cars are inconvenient.","Electric cars need gas.",B,"Focus is on environmental benefits."
2,8,Expression of Ideas,Rhetorical Synthesis,"The text compares renewable energy sources including solar and wind power.","What is the rhetorical purpose?","To describe advantages and disadvantages","To tell a story","To explain a historical event","To criticize energy companies",A,"Text compares pros and cons of sources."
2,9,Craft and Structure,Cross-Text Connections,"Text A discusses water scarcity; Text B talks about water conservation methods.","What is their relationship?","Unrelated topics","Opposing viewpoints","Related causes and effects","Different subjects",C,"Texts link scarcity to conservation efforts."
2,10,Standard English Conventions,Boundaries,"Let's eat kids!","How does punctuation change meaning?","Let's eat kids = urging to eat children","Let's eat, kids = inviting kids to eat","No change","Both mean the same",B,"Comma separates address from action."
2,11,Information and Ideas,Inferences,"A person wears a raincoat and carries an umbrella.","What can be inferred about the weather?","It is sunny.","It might rain.","It is windy.","It is snowing.",B,"Rain gear suggests rain likelihood."
2,12,Expression of Ideas,Transitions,"She was tired; nevertheless, she completed the project on time.","What does 'nevertheless' show?","Addition","Cause","Contrast","Example",C,"Shows contrast despite tiredness."
2,13,Craft and Structure,Words in Context,"The lecture was enlightening and offered new perspectives.","What does 'enlightening' mean?","Confusing","Informative","Short","Boring",B,"Means informative or illuminating."
2,14,Standard English Conventions,Form Structure and Sense,"Neither of the solutions were acceptable.","Which revision is correct?","Neither of the solutions were acceptable.","Neither of the solutions was acceptable.","Neither of the solution was acceptable.","Neither of the solution were acceptable.",B,"'Neither' is singular; verb should agree."
2,15,Information and Ideas,Command of Evidence,"Studies show reading improves vocabulary and comprehension.","Which sentence supports this?","Reading is useless.","Reading helps learn new words.","Reading is hard.","Reading is boring.",B,"Directly supports improved vocabulary."
2,16,Expression of Ideas,Rhetorical Synthesis,"The article explains pros and cons of social media use.","What type of rhetorical strategy is this?","Balanced argument","Bias","Narrative","Description",A,"Presents both sides fairly."
2,17,Craft and Structure,Text Structure and Purpose,"A passage lists steps to prepare for an exam.","Why is this structure effective?","To confuse the reader","To explain a process clearly","To entertain","To criticize exams",B,"Steps help explain process."
2,18,Standard English Conventions,Boundaries,"Running late the bus left without him.","What revision clarifies?","Running late, the bus left without him.","Running late the bus leaves without him.","Running late the bus left without him.","Running late; the bus left without him.",A,"Comma clarifies cause and effect."
2,19,Information and Ideas,Central Idea,"The passage argues exercise improves mental and physical health.","What is central idea?","Exercise is harmful.","Exercise benefits health.","Exercise is tiring.","Exercise is optional.",B,"Focuses on health benefits."
2,20,Expression of Ideas,Transitions,"Although tired, he continued his work.","What does 'although' indicate?","Addition","Contrast","Cause","Result",B,"Shows contrast despite tiredness."
2,21,Craft and Structure,Words in Context,"The scientist's hypothesis was innovative and challenging.","What does 'innovative' mean?","Old-fashioned","New and creative","Simple","Confusing",B,"Means new and creative."
2,22,Standard English Conventions,Form Structure and Sense,"The group of students are working together.","Which verb is correct?","Are","Is","Was","Were",B,"Singular group requires 'is'."
2,23,Information and Ideas,Command of Evidence,"Graphs show increase in renewable energy use.","Which statement supports this?","Energy use decreased.","Energy use increased.","Energy use stayed same.","Energy use unknown.",B,"Graph shows upward trend."
2,24,Expression of Ideas,Rhetorical Synthesis,"The essay compares city and country life.","What rhetorical strategy is this?","Comparison","Narration","Description","Argument",A,"Juxtaposes two lifestyles for effect."
2,25,Craft and Structure,Cross-Text Connections,"Text A talks about pollution; Text B about recycling.","What is relationship?","Irrelevant","Connected by environment","Opposing views","Unrelated",B,"Both relate to environmental themes."
2,26,Standard English Conventions,Boundaries,"Stop thief!","What punctuation clarifies?","Stop, thief!","Stop thief!","Stop. Thief!","Stop-thief!",A,"Comma indicates address."
2,27,Information and Ideas,Inferences,"A student studies late at night.","What is inferred?","Lazy","Diligent","Tired","Absent",B,"Late study suggests diligence."
2,28,Expression of Ideas,Transitions,"He didn't see the sign; therefore, he missed the turn.","What does 'therefore' indicate?","Cause","Effect","Addition","Contrast",B,"Shows result."
2,29,Craft and Structure,Words in Context,"The painting was vibrant with rich colors.","What does 'vibrant' mean?","Dull","Bright","Dark","Simple",B,"Means bright and lively."
2,30,Standard English Conventions,Form Structure and Sense,"Between you and I, this is a secret.","What is correct?","Between you and me","Between you and I","Between me and you","Between I and you",A,"Object pronoun 'me' correct."
2,31,Information and Ideas,Command of Evidence,"The passage states energy use has decreased.","Which supports?","Energy use fell.","Energy use rose.","Energy unchanged.","Unknown.",A,"Confirms decrease."
2,32,Expression of Ideas,Rhetorical Synthesis,"Article shows pros and cons of online learning.","What rhetorical strategy?","Balanced","Biased","Narrative","Description",A,"Shows multiple sides."
2,33,Craft and Structure,Cross-Text Connections,"Text A causes of climate change; Text B effects.","Relationship?","Opposing","Cause and effect","Unrelated","Supporting",B,"Effects stem from causes."
2,34,Standard English Conventions,Boundaries,"Hurry up John!","How to punctuate?","Hurry up, John!","Hurry up John!","Hurry, up John!","Hurry, up John.",A,"Comma for direct address."
2,35,Information and Ideas,Inferences,"Nurse wears gloves and cleans.","Inference?","Careless","Hygienic","Tired","Sick",B,"Shows hygiene."
2,36,Expression of Ideas,Transitions,"She loves music; moreover, she plays instruments.","Meaning 'moreover'?","Cause","Addition","Contrast","Result",B,"Adds info."
2,37,Craft and Structure,Words in Context,"Festival was jubilant and joyful.","Meaning 'jubilant'?","Sad","Happy","Confused","Angry",B,"Means joyful."
2,38,Standard English Conventions,Form Structure and Sense,"Everybody have a choice.","Correction?","Everybody has a choice.","Everybody have a choice.","Everyone have a choice.","Everyone has a choice.",A,"'Everybody' takes 'has'."
2,39,Information and Ideas,Command of Evidence,"Data shows smoking down.","Supporting sentence?","Smoking less now.","Smoking more.","Same rate.","Unknown.",A,"Direct evidence."
2,40,Expression of Ideas,Rhetorical Synthesis,"Passage compares political leaders.","Rhetorical device?","Comparison","Contrast","Narration","Description",A,"Shows similarities."
2,41,Craft and Structure,Text Structure and Purpose,"Article explains diet benefits and drawbacks.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced info."
2,42,Standard English Conventions,Boundaries,"After game players celebrated.","Correct sentence?","After the game, players celebrated.","After game players celebrated.","After-game players celebrated.","After the game players, celebrated.",A,"Comma needed."
2,43,Information and Ideas,Central Idea,"Text warns about texting and driving.","Main idea?","Texting safe.","Texting dangerous.","Texting fun.","Texting necessary.",B,"Warns against texting while driving."
2,44,Expression of Ideas,Transitions,"Though tired, finished work.","'Though' means?","Addition","Contrast","Cause","Result",B,"Shows contrast."
2,45,Craft and Structure,Words in Context,"Speech was eloquent and effective.","'Eloquent' means?","Unclear","Clear and persuasive","Quiet","Long",B,"Clear communication."
2,46,Standard English Conventions,Form Structure and Sense,"Team are winning.","Correction?","Team is winning.","Team are winning.","Teams is winning.","Team were winning.",A,"Singular 'team' requires 'is'."
2,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Supporting fact?","Exercise harmful.","Exercise lowers pressure.","Exercise neutral.","Exercise harmful.",B,"Direct evidence."
2,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and rural life.","Device?","Contrast","Compare","Narrate","Describe",A,"Highlights differences."
2,49,Craft and Structure,Cross-Text Connections,"Text A pollution; Text B health effects.","Connection?","No","Cause and effect","Conflict","Irrelevant",B,"Pollution causes health issues."
2,50,Standard English Conventions,Boundaries,"Please sit down John.","How to punctuate?","Please sit down, John.","Please sit down John.","Please, sit down John.","Please sit, down John.",A,"Comma separates vocative."
2,51,Craft and Structure,Words in Context,"Ancient ruins were awe-inspiring.","'Awe-inspiring'?","Boring","Amazing","Confusing","Ugly",B,"Invokes wonder."
2,52,Standard English Conventions,Form Structure and Sense,"List of items are on table.","Correct verb?","Is","Are","Was","Were",A,"List singular takes 'is'."
2,53,Information and Ideas,Central Idea,"Text stresses water conservation importance.","Central idea?","Water unlimited.","Conservation needed.","Water cheap.","Water clean.",B,"Focus on conservation."
2,54,Expression of Ideas,Transitions,"Failed test; consequently studied harder.","'Consequently' means?","Cause","Effect","Addition","Contrast",B,"Indicates result."
3,1,Craft and Structure,Words in Context,"The old library was a sanctuary for knowledge seekers.","What does 'sanctuary' most nearly mean?","A dangerous place","A quiet retreat","A loud area","A busy market",B,"'Sanctuary' means a safe or peaceful place."
3,2,Standard English Conventions,Boundaries,"She don't like to swim.","Which revision is correct?","She doesn't like to swim.","She don't likes to swim.","She do not like to swim.","She not like to swim.",A,"Subject-verb agreement requires 'doesn't'."
3,3,Information and Ideas,Command of Evidence,"A study shows bees are essential for pollination.","Which evidence supports this?","Bees are insects.","Bees pollinate many plants.","Bees fly fast.","Bees make honey.",B,"Shows bees' role in pollination."
3,4,Expression of Ideas,Transitions,"Although tired, he kept working.","What does 'although' indicate?","Cause","Addition","Contrast","Result",C,"'Although' introduces contrast."
3,5,Craft and Structure,Text Structure and Purpose,"The article lists symptoms of flu before treatment options.","What is the purpose?","To confuse","To order logically","To entertain","To criticize",B,"Lists symptoms, then treatments logically."
3,6,Standard English Conventions,Form Structure and Sense,"Many information is available online.","Which revision is correct?","Much information is available.","Many informations are available.","Much informations are available.","Many information is available.",A,"'Information' is uncountable, so 'much' is correct."
3,7,Information and Ideas,Central Idea,"The passage highlights dangers of texting while driving.","What is central idea?","Texting is safe.","Texting while driving is risky.","Texting is fun.","Driving is unsafe.",B,"Focus on texting risks."
3,8,Expression of Ideas,Rhetorical Synthesis,"The text explains benefits and challenges of urban farming.","What rhetorical approach is used?","Balanced discussion","One-sided view","Narration","Description",A,"Presents both positive and negative aspects."
3,9,Craft and Structure,Cross-Text Connections,"Text A discusses deforestation; Text B effects on wildlife.","What is the link?","Unrelated","Effect of cause","Opposition","Different topics",B,"Effects follow causes."
3,10,Standard English Conventions,Boundaries,"Let's eat grandma!","How punctuation changes meaning?","Let's eat grandma = eat grandmother","Let's eat, grandma = inviting grandma","No change","Both mean same",B,"Comma clarifies."
3,11,Information and Ideas,Inferences,"A person is carrying a map and compass.","What can be inferred?","Lost and navigating","Casual stroll","Driving a car","Sleeping",A,"Map and compass suggest navigation."
3,12,Expression of Ideas,Transitions,"He failed the test; therefore, he studied harder.","What does 'therefore' indicate?","Cause","Effect","Addition","Contrast",B,"Shows result."
3,13,Craft and Structure,Words in Context,"The scientist's method was meticulous and precise.","What does 'meticulous' mean?","Careless","Extremely careful","Quick","Simple",B,"Means very careful and exact."
3,14,Standard English Conventions,Form Structure and Sense,"Each of the dogs bark loudly.","Which correction is needed?","Each dog barks loudly.","Each dog bark loudly.","Each dogs bark loudly.","Each dogs barks loudly.",A,"Singular 'each' with singular verb."
3,15,Information and Ideas,Command of Evidence,"Data shows increase in solar energy use.","Which supports this?","Solar energy use fell.","Solar energy use rose.","Solar energy unchanged.","Unknown.",B,"Direct evidence."
3,16,Expression of Ideas,Rhetorical Synthesis,"The article compares benefits of walking versus running.","What rhetorical device?","Comparison","Narration","Description","Argument",A,"Compares two activities."
3,17,Craft and Structure,Text Structure and Purpose,"The passage introduces a problem and multiple solutions.","What is the purpose?","To entertain","To confuse","To propose solutions","To analyze history",C,"Presents problem and options."
3,18,Standard English Conventions,Boundaries,"Walking home the phone rang.","Best revision?","While walking home, the phone rang.","Walking home the phone rang.","Walking home phone rang.","The phone rang walking home.",A,"Adds clarity."
3,19,Information and Ideas,Central Idea,"The passage discusses causes of air pollution.","What is central idea?","Pollution has many causes.","Pollution has no causes.","Pollution is harmless.","Pollution solves problems.",A,"Focuses on causes."
3,20,Expression of Ideas,Transitions,"She was late; however, she finished her work.","What does 'however' show?","Addition","Contrast","Cause","Effect",B,"Shows contrasting fact."
3,21,Craft and Structure,Words in Context,"The ruins were ancient and mysterious.","What does 'ancient' mean?","Modern","Very old","New","Future",B,"Means very old."
3,22,Standard English Conventions,Form Structure and Sense,"The team are ready.","Correction?","The team is ready.","The team are ready.","The teams is ready.","Teams are ready.",A,"Singular team, singular verb."
3,23,Information and Ideas,Command of Evidence,"Graphs show decrease in smoking.","Supporting statement?","Smoking increased.","Smoking decreased.","Smoking stable.","Unknown.",B,"Confirms fall in smoking."
3,24,Expression of Ideas,Rhetorical Synthesis,"The essay contrasts urban and rural lifestyles.","What is the purpose?","Compare","Narrate","Describe","Argue",A,"Compares two lifestyles."
3,25,Craft and Structure,Cross-Text Connections,"Text A describes causes of deforestation; Text B effects on climate.","Relationship?","Opposition","Cause and effect","Unrelated","Supporting",B,"Effects result from causes."
3,26,Standard English Conventions,Boundaries,"Please sit down John.","Best punctuation?","Please sit down, John.","Please sit down John.","Please, sit down John.","Please sit, down John.",A,"Comma separates vocative."
3,27,Information and Ideas,Inferences,"A person wears a raincoat and boots.","Inference?","Sunny day","Rainy day","Cold day","Hot day",B,"Rain gear implies wet weather."
3,28,Expression of Ideas,Transitions,"He studied hard; thus, he passed.","Meaning of 'thus'?","Cause","Effect","Addition","Contrast",B,"Result or effect."
3,29,Craft and Structure,Words in Context,"The festival was vibrant and lively.","Meaning of 'vibrant'?","Dull","Bright","Dark","Calm",B,"Bright and energetic."
3,30,Standard English Conventions,Form Structure and Sense,"Between you and me is a secret.","Which is correct?","Between you and me","Between you and I","Between me and you","Between I and you",A,"Objective case required."
3,31,Information and Ideas,Command of Evidence,"Study shows exercise improves mood.","Supporting sentence?","Exercise is harmful.","Exercise boosts mood.","Exercise decreases mood.","Exercise is irrelevant.",B,"Shows positive effect."
3,32,Expression of Ideas,Rhetorical Synthesis,"The passage presents pros and cons of social media.","Rhetorical strategy?","Balanced","Biased","Narrative","Description",A,"Shows multiple sides."
3,33,Craft and Structure,Cross-Text Connections,"Text A discusses ocean pollution; Text B effects on wildlife.","Link?","No","Cause-effect","Conflict","Other",B,"Effect follows cause."
3,34,Standard English Conventions,Boundaries,"Stop thief!","How to punctuate?","Stop, thief!","Stop thief!","Stop. Thief!","Stop-thief!",A,"Comma for vocative."
3,35,Information and Ideas,Inferences,"Student studies late.","Inference?","Lazy","Hardworking","Absent","Sleeping",B,"Late study implies diligence."
3,36,Expression of Ideas,Transitions,"She loves music; moreover, she sings.","What does 'moreover' do?","Cause","Adds info","Contrast","Result",B,"Adds supporting info."
3,37,Craft and Structure,Words in Context,"The crowd was jubilant and joyous.","Meaning of 'jubilant'?","Sad","Joyful","Confused","Angry",B,"Very happy."
3,38,Standard English Conventions,Form Structure and Sense,"Everybody has opinions.","What is correct?","Everybody has","Everybody have","Everyone has","Everyone have",A,"Singular verb needed."
3,39,Information and Ideas,Command of Evidence,"Data shows smoking rate declined.","Supporting sentence?","Smoking fell.","Smoking rose.","Smoking stable.","Unknown.",A,"Confirms decline."
