exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
1,11,1,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
1,12,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
1,13,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
1,14,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
1,15,1,Main Idea,"data privacy has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
1,16,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
1,17,1,Inference,"Researchers observed that historical diaries initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
1,18,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
1,19,1,Inference,"Researchers observed that climate policy initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
1,20,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
1,21,1,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
1,22,1,Words in Context,"Scholars described the proposal as ""yield"", noting it departed from established methods.","As used in the passage, ""yield"" most nearly means:",produce,surrender,delay,temporary,A,"""yield"" in scholarly context usually means produce rather than the other choices."
1,23,1,Vocabulary in Context,"The study was initially considered prevailing by peers, but later evidence supported its claims.","As used here, ""prevailing"" most nearly means:",dominant,current,rare,controversial,A,"In this scientific context, prevailing indicates dominant."
1,24,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
1,25,1,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
1,26,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
1,27,1,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
1,28,2,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
1,29,2,Vocabulary in Context,"The study was initially considered obscure by peers, but later evidence supported its claims.","As used here, ""obscure"" most nearly means:",unclear,famous,loud,controversial,A,"In this scientific context, obscure indicates unclear."
1,30,2,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
1,31,2,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
1,32,2,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
1,33,2,Main Idea,"public health has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
1,34,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
1,35,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
1,36,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
1,37,2,Vocabulary in Context,"The study was initially considered obscure by peers, but later evidence supported its claims.","As used here, ""obscure"" most nearly means:",unclear,famous,loud,controversial,A,"In this scientific context, obscure indicates unclear."
1,38,2,Words in Context,"Scholars described the proposal as ""reserve"", noting it departed from established methods.","As used in the passage, ""reserve"" most nearly means:",supply,territory,hesitation,temporary,A,"""reserve"" in scholarly context usually means supply rather than the other choices."
1,39,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
1,40,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
1,41,2,Vocabulary in Context,"The study was initially considered restraint by peers, but later evidence supported its claims.","As used here, ""restraint"" most nearly means:",discipline,shortage,hesitation,controversial,A,"In this scientific context, restraint indicates discipline."
1,42,2,Inference,"Researchers observed that printing press initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
1,43,2,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
1,44,2,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
1,45,2,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
1,46,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
1,47,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
1,48,2,Inference,"Researchers observed that historical diaries initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
1,49,2,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
1,50,2,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
1,51,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
1,52,2,Vocabulary in Context,"The study was initially considered curb by peers, but later evidence supported its claims.","As used here, ""curb"" most nearly means:",restrict,encourage,measure,controversial,A,"In this scientific context, curb indicates restrict."
1,53,2,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
1,54,2,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
2,1,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
2,2,1,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
2,3,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
2,4,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
2,5,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
2,6,1,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
2,7,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
2,8,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
2,9,1,Main Idea,"marine biology has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
2,10,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
2,11,1,Vocabulary in Context,"The study was initially considered restraint by peers, but later evidence supported its claims.","As used here, ""restraint"" most nearly means:",discipline,shortage,hesitation,controversial,A,"In this scientific context, restraint indicates discipline."
2,12,1,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
2,13,1,Vocabulary in Context,"The study was initially considered prevailing by peers, but later evidence supported its claims.","As used here, ""prevailing"" most nearly means:",dominant,current,rare,controversial,A,"In this scientific context, prevailing indicates dominant."
2,14,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,15,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
2,16,1,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
2,17,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
2,18,1,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
2,19,1,Words in Context,"Scholars described the proposal as ""robust"", noting it departed from established methods.","As used in the passage, ""robust"" most nearly means:",strong,fragile,noisy,temporary,A,"""robust"" in scholarly context usually means strong rather than the other choices."
2,20,1,Main Idea,"architectural design has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
2,21,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
2,22,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
2,23,1,Inference,"Researchers observed that climate policy initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,24,1,Inference,"Researchers observed that climate policy initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,25,1,Inference,"Researchers observed that sustainability initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,26,1,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
2,27,1,Evidence,Scholars argued that architectural design reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
2,28,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
2,29,2,Vocabulary in Context,"The study was initially considered temper by peers, but later evidence supported its claims.","As used here, ""temper"" most nearly means:",weaken,intensify,measure,controversial,A,"In this scientific context, temper indicates weaken."
2,30,2,Inference,"Researchers observed that education platforms initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,31,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,32,2,Main Idea,"coral resilience has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
2,33,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,34,2,Words in Context,"Scholars described the proposal as ""temper"", noting it departed from established methods.","As used in the passage, ""temper"" most nearly means:",weaken,intensify,measure,temporary,A,"""temper"" in scholarly context usually means weaken rather than the other choices."
2,35,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
2,36,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,37,2,Vocabulary in Context,"The study was initially considered robust by peers, but later evidence supported its claims.","As used here, ""robust"" most nearly means:",strong,fragile,noisy,controversial,A,"In this scientific context, robust indicates strong."
2,38,2,Inference,"Researchers observed that climate policy initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,39,2,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
2,40,2,Words in Context,"Scholars described the proposal as ""yield"", noting it departed from established methods.","As used in the passage, ""yield"" most nearly means:",produce,surrender,delay,temporary,A,"""yield"" in scholarly context usually means produce rather than the other choices."
2,41,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
2,42,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,43,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,44,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
2,45,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
2,46,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
2,47,2,Words in Context,"Scholars described the proposal as ""temper"", noting it departed from established methods.","As used in the passage, ""temper"" most nearly means:",weaken,intensify,measure,temporary,A,"""temper"" in scholarly context usually means weaken rather than the other choices."
2,48,2,Main Idea,"public health has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
2,49,2,Main Idea,"architectural design has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
2,50,2,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
2,51,2,Inference,"Researchers observed that artistic innovation initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,52,2,Inference,"Researchers observed that marine biology initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
2,53,2,Inference,"Researchers observed that architectural design initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
